2016-03-06 13:02:39+0300 [-] Log opened.
2016-03-06 13:02:39+0300 [-] PBServerFactory starting on 13333
2016-03-06 13:02:39+0300 [-] Starting factory <twisted.spread.pb.PBServerFactory instance at 0x029B69B8>
2016-03-06 13:02:39+0300 [-] Starting off the system
2016-03-06 13:03:11+0300 [-] Daily Thread initiating messenger
2016-03-06 13:03:11+0300 [-] this is the type extension
2016-03-06 13:03:11+0300 [-] extension has been disabled
2016-03-06 13:03:11+0300 [-] this is the type renewal
2016-03-06 13:03:12+0300 [-] this is the type clients
2016-03-06 13:03:12+0300 [-] clients has been disabled
2016-03-06 13:03:12+0300 [-] this is the type newinvoice
2016-03-06 13:03:12+0300 [-] newinvoice has been disabled
2016-03-06 13:03:12+0300 [-] this is the type birthday
2016-03-06 13:03:12+0300 [-] this is the type cheque
2016-03-06 13:03:12+0300 [-] this is the type balance
2016-03-06 13:03:12+0300 [-] balance has been disabled
2016-03-06 13:03:12+0300 [-] 4 messages waiting to be sent
2016-03-06 13:03:12+0300 [-] Internet error
2016-03-06 13:03:12+0300 [-] Internet error
2016-03-06 13:03:12+0300 [-] Internet error
2016-03-06 13:03:12+0300 [-] Internet error
2016-03-06 13:03:33+0300 [-] Hourly Thread initiating messenger
2016-03-06 13:03:33+0300 [-] 4 messages waiting to be sent
2016-03-06 13:03:33+0300 [-] Internet error
2016-03-06 13:03:33+0300 [-] Internet error
2016-03-06 13:03:33+0300 [-] Internet error
2016-03-06 13:03:33+0300 [-] Internet error
2016-03-06 13:04:05+0300 [Broker,0,127.0.0.1] admin asking for authentification
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 2592 renewals
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 670 balances
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 670 clients
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 1999 expiries
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 0 cheques
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 0 bank
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 0 payee
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 0 cheque types
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 13 users
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with company information
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 0 names
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 4 group clients
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to request with 7 messages
2016-03-06 13:04:09+0300 [Broker,1,127.0.0.1] Server responding to outbox request
2016-03-06 13:04:33+0300 [-] Hourly Thread initiating messenger
2016-03-06 13:04:33+0300 [-] 4 messages waiting to be sent
2016-03-06 13:04:33+0300 [-] Internet error
2016-03-06 13:04:33+0300 [-] Internet error
2016-03-06 13:04:33+0300 [-] Internet error
2016-03-06 13:04:33+0300 [-] Internet error
2016-03-06 13:05:34+0300 [-] Hourly Thread initiating messenger
2016-03-06 13:05:34+0300 [-] 4 messages waiting to be sent
2016-03-06 13:05:34+0300 [-] Internet error
2016-03-06 13:05:34+0300 [-] Internet error
2016-03-06 13:05:34+0300 [-] Internet error
2016-03-06 13:05:34+0300 [-] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] 1287 messages waiting to be sent
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:10+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
2016-03-06 13:07:11+0300 [Broker,2,127.0.0.1] Internet error
